name,position,prediction_season,predicted_goals_per_match,actual_goals_per_match
Christian  Rompf ,Left Wing,2014/2015,2.1275041969429367,2.869565217391304
Christian  Rompf ,Left Wing,2015/2016,2.672890426351007,1.1
Christian  Rompf ,Left Wing,2016/2017,1.781092822138294,2.3513513513513513
Christian  Rompf ,Left Wing,2017/2018,2.0795215795012334,1.59375
Kevin  Schmidt ,Left Wing,2012/2013,2.120817515266078,4.9375
Kevin  Schmidt ,Left Wing,2013/2014,3.9067312309616304,3.9473684210526314
Kevin  Schmidt ,Left Wing,2014/2015,3.4345867573321214,1.44
Kevin  Schmidt ,Left Wing,2015/2016,2.187955489369471,2.033333333333333
Kevin  Schmidt ,Left Wing,2016/2017,1.935989590364843,1.8387096774193548
Daniel  Valo ,Right Back,2012/2013,2.9762572311182014,2.1724137931034484
Steffen  Fäth ,Left Back,2012/2013,2.0433756044137086,4.222222222222222
Steffen  Fäth ,Left Back,2013/2014,3.483290703011194,4.548387096774194
Steffen  Fäth ,Left Back,2014/2015,3.9838957350811173,4.580645161290323
Steffen  Fäth ,Left Back,2015/2016,3.9838957350811173,4.483870967741935
Steffen  Fäth ,Left Back,2016/2017,3.9838957350811173,2.4571428571428573
Steffen  Fäth ,Left Back,2017/2018,2.846945022055689,5.071428571428571
Alois  Mráz,Left Back,2012/2013,1.87981046134367,1.2666666666666666
Alois  Mráz,Left Back,2013/2014,1.8477514720162307,2.638888888888889
Alois  Mráz,Left Back,2014/2015,2.672890426351007,2.357142857142857
Philipp  Müller ,Left Back,2012/2013,2.716649718622526,3.0689655172413794
Philipp  Müller ,Left Back,2013/2014,2.672890426351007,2.411764705882353
Philipp  Müller ,Left Back,2014/2015,2.281910597619748,2.0
Philipp  Müller ,Left Back,2015/2016,2.00661512696939,1.8484848484848484
Philipp  Müller ,Left Back,2016/2017,1.8884822003672324,2.03125
Philipp  Müller ,Left Back,2017/2018,1.935989590364843,0.9655172413793104
Timm  Schneider ,Right Back,2012/2013,3.966454130418343,3.1153846153846154
Timm  Schneider ,Right Back,2013/2014,3.3408936725537606,4.2
Timm  Schneider ,Right Back,2014/2015,3.650424970393286,3.3225806451612905
Timm  Schneider ,Right Back,2015/2016,2.921981869265939,2.121212121212121
Timm  Schneider ,Right Back,2016/2017,2.1928631133085497,1.7941176470588236
Timm  Schneider ,Right Back,2017/2018,1.8884822003672324,1.5
Georgios  Chalkidis ,Line Player,2012/2013,1.3611218708190491,2.0
Georgios  Chalkidis ,Line Player,2013/2014,1.8781458668237623,1.6538461538461537
Georgios  Chalkidis ,Line Player,2014/2015,1.8884822003672324,1.2580645161290323
Georgios  Chalkidis ,Line Player,2015/2016,1.8477514720162307,1.5
Timo  Ludwig ,Right Wing,2012/2013,0.6621276896332322,0.16666666666666666
Timo  Ludwig ,Right Wing,2013/2014,0.6190849738642967,0.8285714285714286
Timo  Ludwig ,Right Wing,2014/2015,1.1797162260473353,1.7142857142857142
Felix  Danner ,Line Player,2012/2013,2.58530105991561,3.870967741935484
Felix  Danner ,Line Player,2013/2014,2.976306963814365,3.25
Felix  Danner ,Line Player,2014/2015,2.7597545857785124,2.7941176470588234
Felix  Danner ,Line Player,2015/2016,2.6290603521871287,1.8484848484848484
Felix  Danner ,Line Player,2016/2017,2.0394041089003334,1.1935483870967742
Felix  Danner ,Line Player,2017/2018,1.792840567272003,1.2058823529411764
Grigoris  Sanikis ,Left Back,2012/2013,2.5107918497398094,1.5333333333333334
Alexandros  Vasilakis ,Right Back,2012/2013,4.1372274542755205,5.269230769230769
Alexandros  Vasilakis ,Right Back,2013/2014,4.3701248369920425,3.6666666666666665
Alexandros  Vasilakis ,Right Back,2014/2015,3.075917072802766,3.607142857142857
Alexandros  Vasilakis ,Right Back,2015/2016,3.13954791464019,3.24
Andy Schmid ,Middle Back,2012/2013,2.2659011389751833,4.875
Andy Schmid ,Middle Back,2013/2014,4.00170834789445,4.735294117647059
Andy Schmid ,Middle Back,2014/2015,4.229738350327991,3.1666666666666665
Andy Schmid ,Middle Back,2015/2016,3.3923530067717946,5.181818181818182
Andy Schmid ,Middle Back,2016/2017,4.202908505757321,4.485714285714286
Andy Schmid ,Middle Back,2017/2018,4.256238188022264,5.5588235294117645
Børge Lund ,Middle Back,2012/2013,1.792840567272003,1.8076923076923077
Børge Lund ,Middle Back,2013/2014,1.7416210711377633,1.0357142857142858
Børge Lund ,Middle Back,2014/2015,1.4282202125532677,1.1176470588235294
Børge Lund ,Middle Back,2015/2016,1.6342316929088252,0.3888888888888889
Uwe  Gensheimer ,Left Wing,2012/2013,5.908860336505706,6.5625
Uwe  Gensheimer ,Left Wing,2013/2014,5.596221219518027,6.741935483870968
Uwe  Gensheimer ,Left Wing,2014/2015,5.908860336505706,6.055555555555555
Uwe  Gensheimer ,Left Wing,2015/2016,5.081357834244069,6.766666666666667
Uwe  Gensheimer ,Left Wing,2016/2017,5.731764643147904,6.958333333333333
Uwe  Gensheimer ,Left Wing,2017/2018,5.908860336505706,5.0
Oliver  Roggisch ,Line Player,2012/2013,0.8053858054983498,0.03333333333333333
Oliver  Roggisch ,Line Player,2013/2014,0.6190849738642967,0.0
Niklas  Ruß ,Left Wing,2012/2013,1.0340157037526927,4.457142857142857
Niklas  Ruß ,Left Wing,2013/2014,3.874318841379501,3.324324324324324
Niklas  Ruß ,Left Wing,2014/2015,3.249410197946544,0.9722222222222222
Niklas  Ruß ,Left Wing,2015/2016,1.591320027910101,1.0
Niklas  Ruß ,Left Wing,2016/2017,1.5674721009841597,2.5
Michael  Müller ,Right Back,2012/2013,1.7804957380902486,4.03125
Michael  Müller ,Right Back,2013/2014,3.4519980312463128,3.6176470588235294
Michael  Müller ,Right Back,2014/2015,3.185923756306589,3.361111111111111
Michael  Müller ,Right Back,2015/2016,2.9762572311182014,3.757575757575758
Michael  Müller ,Right Back,2016/2017,3.13954791464019,3.1470588235294117
Michael  Müller ,Right Back,2017/2018,2.840188025578594,2.111111111111111
Bjarte  Myrhol ,Line Player,2012/2013,2.513461379475093,4.225806451612903
Bjarte  Myrhol ,Line Player,2013/2014,3.5408480766916695,3.65625
Bjarte  Myrhol ,Line Player,2014/2015,3.023696472819163,3.0588235294117645
Róbert  Gunnarsson ,Line Player,2012/2013,1.8477514720162307,3.3846153846153846
Róbert  Gunnarsson ,Line Player,2013/2014,2.7702706553592567,2.32
Róbert  Gunnarsson ,Line Player,2014/2015,2.1928631133085497,2.1538461538461537
Róbert  Gunnarsson ,Line Player,2015/2016,2.1593840625431864,0.375
Guðjón Valur Sigurðsson,Left Back,2014/2015,3.1994716391678097,4.551724137931035
Guðjón Valur Sigurðsson,Left Back,2015/2016,4.069783499409628,3.8076923076923075
Guðjón Valur Sigurðsson,Left Back,2016/2017,3.5102289963456563,6.090909090909091
Guðjón Valur Sigurðsson,Left Back,2017/2018,4.276662656898335,4.633333333333334
Patrick  Groetzki ,Right Wing,2012/2013,3.2530734414189224,2.740740740740741
Patrick  Groetzki ,Right Wing,2013/2014,2.672890426351007,4.029411764705882
Patrick  Groetzki ,Right Wing,2014/2015,3.638420270987563,4.111111111111111
Patrick  Groetzki ,Right Wing,2015/2016,3.857566042825004,2.3548387096774195
Patrick  Groetzki ,Right Wing,2016/2017,2.511770665897636,2.878787878787879
Patrick  Groetzki ,Right Wing,2017/2018,2.672890426351007,2.9375
Tobias  Karlsson ,Line Player,2012/2013,1.1806330796581648,0.03333333333333333
Tobias  Karlsson ,Line Player,2013/2014,0.6190849738642967,0.0
Tobias  Karlsson ,Line Player,2014/2015,0.6190849738642967,0.027777777777777776
Tobias  Karlsson ,Line Player,2015/2016,0.6190849738642967,0.0
Tobias  Karlsson ,Line Player,2016/2017,0.6190849738642967,0.06666666666666667
Tobias  Karlsson ,Line Player,2017/2018,0.6190849738642967,0.0
Anders Eggert Jensen,Left Wing,2012/2013,5.246484432128758,6.90625
Anders Eggert Jensen,Left Wing,2013/2014,5.908860336505706,6.411764705882353
Anders Eggert Jensen,Left Wing,2014/2015,5.344872592048187,5.666666666666667
Anders Eggert Jensen,Left Wing,2015/2016,4.64822684258083,5.857142857142857
Anders Eggert Jensen,Left Wing,2016/2017,4.569519309142458,5.071428571428571
Patrik  Fahlgren ,Middle Back,2012/2013,2.796428733307075,4.032258064516129
Patrik  Fahlgren ,Middle Back,2013/2014,3.638420270987563,3.0294117647058822
Patrik  Fahlgren ,Middle Back,2014/2015,2.716649718622526,2.4444444444444446
Patrik  Fahlgren ,Middle Back,2015/2016,2.3112840605001135,1.6666666666666667
Patrik  Fahlgren ,Middle Back,2016/2017,1.9270487476443408,1.7272727272727273
Thomas  Mogensen ,Middle Back,2012/2013,2.796428733307075,4.233333333333333
Thomas  Mogensen ,Middle Back,2013/2014,3.8111902011586047,3.5454545454545454
Thomas  Mogensen ,Middle Back,2014/2015,3.245847480834209,3.757575757575758
Thomas  Mogensen ,Middle Back,2015/2016,3.1994716391678097,2.875
Thomas  Mogensen ,Middle Back,2016/2017,2.716649718622526,2.7096774193548385
Thomas  Mogensen ,Middle Back,2017/2018,2.716649718622526,1.911764705882353
Lasse  Svan Hansen,Right Wing,2012/2013,3.857566042825004,3.806451612903226
Lasse  Svan Hansen,Right Wing,2013/2014,3.306473635644893,4.59375
Lasse  Svan Hansen,Right Wing,2014/2015,4.041453108761593,4.6
Lasse  Svan Hansen,Right Wing,2015/2016,4.110472521614367,5.161290322580645
Lasse  Svan Hansen,Right Wing,2016/2017,4.347094357458657,5.090909090909091
